naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev 
Owlboy,2018-04-10,83,12,6.3,19,E10+,BlitWorks, No Online Multiplayer,
OlliOlli2: XL Edition,2016-05-24,83,12,6.4,7,T,roll7,,
Frequency,2001-11-19,83,26,8.6,29,E,Harmonix Music Systems,,1-4 Players
Call of Duty: World at War,2008-11-10,83,19,7.6,85,M,Exakt,,1-2 Players
Iconoclasts,2018-01-23,83,23,6.9,61,T,"Joakim Sandberg, Konjak",No Online Multiplayer,
Flipping Death,2018-08-07,83,12,7.9,27,T,Zoink!,No Online Multiplayer,
Yoku's Island Express,2018-05-29,83,29,7.7,27,E10+,Villa Gorilla,No Online Multiplayer,
Warhammer: Vermintide 2,2018-07-11,83,15,5.6,14,M,Fatshark AB,Up to 4 Players,
MLB 07: The Show,2007-02-26,83,25,8.6,19,E,SCEA,2 Players Online,1-2 Players
Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,2008-12-15,83,14,7.6,10,E10+,Telltale Games,,
Worms W.M.D,2017-11-23,83,21,7.8,40,E10+,Team17,Up to 6 Players,
Theatrhythm Final Fantasy: Curtain Call,2014-09-16,83,52,8.2,222,T,indieszero,2 Players,
Boktai: The Sun Is in Your Hand,2003-09-16,83,31,8.1,21,E,KCEJ,,1-4 Players
Harvest Moon: Magical Melody,2006-03-28,83,14,8.8,50,E,Marvelous,,1-4 Players
Pokemon Platinum Version,2009-03-22,83,46,8.9,802,E,Game Freak,2 Players,1-4 Players
Assassin's Creed Odyssey,2018-10-02,83,86,6.3,2733,M,Ubisoft,No Online Multiplayer,
Donkey Kong Country: Tropical Freeze,2014-02-21,83,77,8.9,870,E,Retro Studios,,1-2 Players
Valkyria Chronicles II,2010-08-30,83,54,8.3,86,T,Sega,,
No More Heroes 2: Desperate Struggle,2020-10-28,83,7,8.5,11,,"Engine Software, Grasshopper Manufacture",No Online Multiplayer,
One Step From Eden,2020-03-26,83,8,8.7,42,,Thomas Moon Kang,,
Code:Realize - Guardian of Rebirth,2020-02-06,83,7,6.6,15,T,Otomate,No Online Multiplayer,
Reventure,2019-10-08,83,7,7.6,11,T,Pixelatto,No Online Multiplayer,
F1 2018,2018-08-23,83,9,7.6,63,E,Codemasters,Up to 20 Players,
Batman: The Telltale Series - Episode 2: Children of Arkham,2016-09-20,83,8,6.7,15,M,Telltale Games,,
ZEN Pinball 2: The Walking Dead,2014-08-26,83,7,6.0,19,E10+,Zen Studios,,
BlazBlue: Continuum Shift Extend,2012-02-14,83,28,7.5,100,T,Arc System Works,,
Odin Sphere,2007-05-22,83,49,8.7,73,T,Vanilla Ware,,1 Player
Tony Hawk's Underground 2 Remix,2005-03-23,83,49,8.1,40,T,Shaba Games,,1-4 Players
Maximo vs Army of Zin,2004-01-20,83,46,8.1,21,T,Capcom,,1 Player
Metal Arms: Glitch in the System,2003-11-18,83,30,8.6,28,T,Swingin' Ape,,1-4 Players
ESPN College Hoops,2003-11-13,83,14,8.5,8,E,Visual Concepts,,1-8 Players
High Heat Major League Baseball 2004,2003-02-20,83,17,8.1,12,E,3DO,,1-2 Players
MechWarrior 4: Mercenaries,2002-11-07,83,19,8.5,43,T,FASA Studio,,1-16 Players
F1 2001,2001-10-01,83,13,8.3,12,E,EA Sports,,1-4 Players
Breath of Fire IV,2000-11-28,83,10,8.7,91,T,Capcom,,1 Player
Metal Gear Solid,2000-09-24,83,23,8.9,235,M,Digital Dialect,,1 Player
Mario Kart 64,1997-02-10,83,15,8.6,409,E,Nintendo,,1-4 Players
"Invisible, Inc.",2015-05-12,82,45,7.9,175,,Klei Entertainment,,
WarioWare D.I.Y.,2010-03-28,82,53,8.2,47,E,Intelligent Systems,,
Wipeout Pulse,2008-02-12,82,40,8.5,44,E10+,Studio Liverpool,8 Players Online Up to 8 Players,1 Player
SOMA,2017-12-01,82,14,8.3,35,M,Frictional Games,No Online Multiplayer,
Dark Souls II: Crown of the Ivory King,2014-09-29,82,12,7.9,101,,Namco Bandai Games,,
Defense Grid: The Awakening,2009-09-02,82,23,7.8,39,E10+,Hidden Path Entertainment,,
Sega Genesis Collection,2006-11-16,82,22,8.0,18,T,Sega,,1-2 Players
Gears of War: Ultimate Edition,2015-08-25,82,74,7.7,714,M,"Splash Damage, The Coalition",Up to 8 Players,
Tomb Raider: Legend,2006-04-11,82,40,6.9,15,T,Crystal Dynamics,,1 Player
Tom Clancy's Rainbow Six Vegas 2,2008-03-18,82,66,7.8,190,M,Ubisoft Montreal,,1-2 Players
Red Faction: Guerrilla,2009-09-15,82,29,7.6,361,M,"Volition Inc., Reactor Zero",,
X-Men Legends II: Rise of Apocalypse,2005-09-20,82,44,7.5,49,T,Raven Software,4 Players Online,1-4 Players
Yoku's Island Express,2018-05-29,82,29,8.6,86,E10+,Villa Gorilla,No Online Multiplayer,
Command & Conquer Remastered Collection,2020-06-05,82,58,8.8,252,T,Petroglyph,Online Multiplayer,
Freedom Finger,2020-03-24,82,9,7.6,41,M,Wide Right Interactive,No Online Multiplayer,
The Book of Unwritten Tales,2011-10-28,82,32,8.2,153,T,KING Art,,
Ys: Memories of Celceta,2013-11-26,82,56,8.7,281,T,Falcom,No Online Multiplayer,1 Player
Laser League,2018-05-10,82,27,6.5,30,E10+,roll7,Up to 6 Players,
Super Hydorah,2017-09-20,82,7,6.9,8,T,Locomalito,,
BioShock 2: Minerva's Den,2010-08-31,82,12,8.8,73,M,2K Marin,,
Street Fighter V: Champion Edition,2020-02-14,82,29,6.2,109,T,Capcom,2 Players,
Hypnospace Outlaw,2019-03-12,82,17,6.7,45,,Tendershoot,,
KORG DS-10 Synthesizer,2008-11-04,82,11,8.2,13,E,AQ Interactive,,
Super Robot Taisen: Original Generation 2,2006-11-14,82,7,8.4,10,T,Banpresto,,1 Player
Watch Dogs 2,2016-11-15,82,95,7.6,1555,M,Ubisoft Montreal,Up to 4 Players,
Hand of Fate 2,2017-11-07,82,14,7.5,21,T,Defiant Development,No Online Multiplayer,
TOCA Race Driver 3,2006-02-22,82,26,7.5,19,E10+,Codemasters,8 Players Online,1-2 Players
Dance Central,2010-11-04,82,63,8.0,85,T,Harmonix Music Systems,,
The Outer Worlds,2019-10-25,82,29,7.3,1930,M,Obsidian Entertainment, No Online Multiplayer,
FIFA 16,2015-09-22,82,42,4.4,1002,E,EA Sports,,
F1 2011,2011-09-20,82,36,7.2,58,E,Codemasters,,
Capitalism II,2001-12-16,82,11,8.7,89,E,Enlight Software,,
Rally Trophy,2001-11-20,82,8,7.0,21,E,Bugbear,,1-6 Players
GT Advance Championship Racing,2001-06-08,82,10,8.2,5,E,MTO,,1-2 Players
Ridge Racer 64,2000-02-14,82,12,8.3,21,E,Nintendo,,1-4 Players
Pokemon Alpha Sapphire,2014-11-21,82,52,7.4,726,E,Game Freak,Up to 4 Players,
Nuclear Throne,2015-12-05,82,14,6.3,48,E10+,Vlambeer,,
Assassin's Creed Valhalla,2020-11-10,82,12,,,M,"Ubisoft, Ubisoft Montreal",,
Rock Band,2007-12-18,82,8,6.9,14,T,Harmonix Music Systems,,1-4 Players
Stealth Inc 2: A Game of Clones,2015-04-03,82,7,6.9,10,T,Curve Digital,,
Wreckfest,2019-08-27,82,23,7.0,137,T,Bugbear,Online Multiplayer,
Dark Souls III: The Ringed City,2017-03-28,82,22,8.3,234,M,From Software,,
Dawn of Discovery,2009-06-17,82,32,8.8,150,T,"Blue Byte, Related Designs",,1 Player
Pinball FX3,2017-12-12,82,18,7.8,50,E10+,Zen Studios,No Online Multiplayer,
Hitman 2,2018-11-13,82,22,7.4,309,M,Io Interactive,2 Players,
Hot Shots Golf: Open Tee 2,2008-06-03,82,42,8.1,14,E,Clap Hanz,,1-8 Players
Streets of Rage 4,2020-04-30,82,9,7.8,143,T,"BlitWorks, Lizardcube",2 Players,
Outer Wilds,2019-10-15,82,8,7.5,128,E10+,"Mobius Digital, LLC",No Online Multiplayer,
SingStar (2008),2008-05-20,82,48,6.1,16,T,SCEE London Studio,,1-8 Players
The Sexy Brutale,2017-04-11,82,13,7.1,13,T,"Abstraction Games, Tequila Works, Cavalier Game Studios",,
FIFA 07 Soccer,2006-10-03,82,25,7.8,69,E,Team Fusion,4 Players Online,1-8 Players
Child of Light,2014-04-30,82,32,7.7,272,E10+,Ubisoft Montreal,,
L.A. Noire: The VR Case Files,2017-12-15,82,26,6.5,25,M,Rockstar Games,,
CrossCode,2020-07-09,82,18,8.3,34,T,Radical Fish Games,No Online Multiplayer,
City of Villains,2005-10-31,82,40,7.6,41,T,Paragon Studios,,Massively Multiplayer
Cave Story 3D,2011-11-08,82,29,8.1,70,E10+,Nicalis,No Online Multiplayer,
The Banner Saga 2,2016-04-19,82,60,8.3,180,,Stoic,,
The Wolf Among Us: Episode 2 - Smoke and Mirrors,2014-02-04,82,9,8.2,85,M,Telltale Games,,
LEGO Marvel Super Heroes,2013-10-22,82,8,8.0,79,E10+,TT Games,,
Kentucky Route Zero - Act II,2013-05-31,82,7,7.5,51,,Cardboard Computer,,
Minecraft: Xbox 360 Edition,2012-05-09,82,63,7.3,541,E10+,"4J Studios, Mojang AB",Up to 8 Players,
MLB 07: The Show,2007-02-27,82,12,8.0,9,E,SCEA San Diego Studios,,1-2 Players
Dead Space: Extraction,2009-09-29,82,76,7.9,97,M,"Eurocom Entertainment Software, Visceral Games, Eurocom",,
NBA 2K10,2009-10-06,82,46,7.5,35,E,Visual Concepts,Up to 10 Players,
Project CARS 2,2017-09-22,82,44,6.1,189,E,"Bandai Namco Games, Slightly Mad Studios",Up to 16 Players,
NBA Ballers,2004-04-05,82,35,7.3,10,E,Midway,,1-3 Players
Shadow of the Tomb Raider,2018-09-12,82,56,7.3,494,M,Eidos Montreal,2 Players,
Football Manager 2018,2017-11-10,82,33,5.9,94,,Sports Interactive,,
Resident Evil: Revelations,2012-02-07,82,78,8.5,500,M,Capcom,2 Players,1 Player
Tom Clancy's Splinter Cell: Blacklist,2013-08-20,82,13,7.5,901,M,Ubisoft Toronto,,
You Don't Know Jack,2011-02-08,82,23,7.9,29,T,"Jellyvision, Iron Galaxy Studios",,1-4 Players
SUPERHOT,2016-02-25,82,93,7.5,560,T,SUPERHOT,No Online Multiplayer,
LEGO Marvel Super Heroes,2013-10-22,82,22,7.8,90,E10+,TT Games,,
Pokemon Ruby Version,2003-03-18,82,30,8.6,292,E,Game Freak,,1-4 Players
MVP Baseball 2003,2003-03-10,82,18,7.7,11,E,EA Sports,,1-2 Players
NHL Hitz 20-03,2002-09-16,82,12,8.4,7,E,Midway,,1-4 Players
Gitaroo Man,2002-02-19,82,21,8.7,26,E,Koei/Inis,,1-4 Players
Theme Park Roller Coaster,2000-12-04,82,11,8.2,18,E,Bullfrog Productions,,1 Player
Dave Mirra Freestyle BMX,2000-09-26,82,14,7.1,10,E,"Z-Axis, Ltd.",,1-2 Players
Karaoke Revolution Volume 3,2004-11-09,82,25,7.8,10,E,Harmonix Music Systems,,1-8 Players
Dawn of Discovery,2009-06-17,82,11,7.3,8,E,Keen Games,,
Professor Layton and the Miracle Mask,2012-10-28,82,54,8.1,150,E10+,Level 5,,
Super Mario 3D All-Stars,2020-09-18,82,97,6.3,524,E,Nintendo,No Online Multiplayer,
Yakuza 5 Remastered,2020-02-11,82,7,7.8,58,M,Ryu ga Gotoku Studios,No Online Multiplayer,
The Pinball Arcade,2013-12-17,82,16,6.8,84,E10+,Farsight Studios,No Online Multiplayer,
Monster Hunter 3 Ultimate,2013-03-19,82,55,8.2,326,T,Capcom,No Online Multiplayer,
Saints Row: The Third,2011-11-15,82,50,7.8,434,M,Volition Inc.,2 Players,
Borderlands: The Handsome Collection,2015-03-24,82,49,7.8,554,M,"Gearbox Software, Iron Galaxy Studios",Up to 4 Players,
Tom Clancy's The Division 2,2019-03-12,82,56,6.2,1461,M,Massive Entertainment,Online Multiplayer,
Super Stardust Delta,2012-02-14,82,42,8.0,117,E,Housemarque,,
Tiger Woods PGA Tour 09,2008-08-26,82,34,7.1,11,E,EA Tiburon,,
Act of War: Direct Action,2005-03-15,82,43,7.8,51,T,Eugen Systems,8 Players Online,1 Player
Madden NFL 18,2017-08-22,82,40,3.5,151,E,Electronic Arts,Up to 6 Players,
South Park: The Stick of Truth,2014-03-04,82,33,8.4,397,M,Obsidian Entertainment,No Online Multiplayer,
Geometry Wars 3: Dimensions,2014-11-26,82,27,7.7,40,E,Lucid Games,,
SUPERHOT: MIND CONTROL DELETE,2020-07-16,82,12,5.4,10,T,SUPERHOT,No Online Multiplayer,
Flat Heroes,2018-08-02,82,13,8.3,14,E,Parallel Circles,No Online Multiplayer,
Stealth Inc 2: A Game of Clones,2014-10-30,82,21,7.9,49,T,Curve Digital,,
Horizon Chase Turbo,2018-11-28,82,16,8.2,55,E,Aquiris Game Studio,No Online Multiplayer,
RiME,2017-05-26,82,18,7.4,81,E10+,Tequila Works,No Online Multiplayer,
Tekken 7,2017-06-01,82,19,6.8,312,T,Bandai Namco Games,Online Multiplayer,
Runbow,2015-08-27,82,34,7.8,66,E,13AM Games,,
Madden NFL 17,2016-08-23,82,35,4.2,154,E,EA Sports,2 Players,
Mortal Kombat 11,2019-04-23,82,12,3.0,625,M,NetherRealm Studios,Online Multiplayer Up to 8 Players,
Sokobond,2013-08-27,82,7,7.5,6,,Alan Hazelden & Harry Lee,,1 Player
Quell Memento,2013-06-04,82,7,7.6,14,E,Fallen Tree Games,,
MotoHeroz,2011-09-15,82,16,7.5,12,E,RedLynx,,1-4 Players
Mario vs. Donkey Kong: Minis March Again!,2009-06-08,82,12,8.0,26,E,Nintendo,,1 Player
Zone of the Enders: The 2nd Runner,2003-03-10,82,33,8.7,91,M,KCEJ,,1-2 Players
F1 2016,2016-08-19,82,49,7.9,126,E,Codemasters,Up to 22 Players,
Viva Pinata: Trouble in Paradise,2008-09-02,82,64,8.1,69,E,Rare Ltd.,4 Players Online No Online Multiplayer,1-4 Players
Sam & Max Episode 105: Reality 2.0,2007-03-29,82,23,7.7,20,,Telltale Games,No Online Multiplayer,1 Player
Destiny 2: Forsaken,2018-09-04,82,41,6.4,290,T,"Bungie Software, Bungie",,
2010 FIFA World Cup South Africa,2010-04-27,82,56,7.8,65,E,EA Canada,,
Crown Trick,2020-10-16,82,9,7.9,10,,NExT Studios,,
Ruiner,2020-06-18,82,8,8.2,9,M,Reikon Games,No Online Multiplayer,
Blazing Chrome,2019-07-11,82,8,7.8,22,T,"JoyMasher, Seaven Studio",2 Players,
Operencia: The Stolen Sun,2019-03-29,82,15,7.1,31,T,Zen Studios,No Online Multiplayer,
NHL 19,2018-09-11,82,20,6.0,55,E10+,EA Sports,Up to 12 Players,
Lovers in a Dangerous Spacetime,2015-09-09,82,27,7.2,34,E10+,Asteroid Base,,
Bejeweled 3,2010-12-07,82,27,7.8,108,E,PopCap,,
Dangerous Waters,2005-02-22,82,24,8.6,30,,Sonalysts,32 Players Online,1 Player
Shift 2: Unleashed,2011-03-29,82,70,6.5,106,E10+,Slightly Mad Studios,Up to 12 Players,
Yooka-Laylee and the Impossible Lair,2019-10-08,82,36,7.1,95,E,Playtonic Games,No Online Multiplayer,
LEGO The Lord of the Rings,2012-11-13,82,16,8.3,105,E10+,TT Games,No Online Multiplayer,
Iron Brigade,2011-06-22,82,43,8.0,72,T,Double Fine Productions,,
Tomb Raider: Legend,2006-04-11,82,31,7.9,309,T,Nixxes Software,,1 Player
Peter Jackson's King Kong: The Official Game of the Movie,2005-11-21,82,41,8.4,99,T,Ubisoft Montpellier,,1 Player
Asheron's Call 2: Fallen Kings,2002-11-20,82,22,7.2,10,M,Turbine Inc.,,Massively Multiplayer
Super Monkey Ball Jr.,2002-11-19,82,20,7.6,16,E,Realism Ltd,,1-4 Players
WWE SmackDown! Shut Your Mouth,2002-10-31,82,27,8.6,77,T,Yuke's,,1-6 Players
Tom Clancy's The Division 2,2019-03-12,82,30,5.8,404,M,Massive Entertainment,Online Multiplayer,
Yakuza Kiwami 2,2019-05-09,82,20,8.4,86,M,Ryu ga Gotoku Studios,No Online Multiplayer,
Unreal Tournament III,2008-07-07,82,47,7.5,100,M,Epic Games,16 Players Online Up to 16 Players,1-2 Players
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,2018-06-26,82,31,8.2,75,E10+,Ubisoft Milan,,
N++,2015-07-28,82,47,6.6,69,E10+,Metanet Software Inc.,,
Gemini Rue,2011-02-24,82,24,8.3,209,,"Wadjet Eye Games, Joshua Nuernberger",,
Valkyria Chronicles 4,2018-09-25,82,25,8.6,136,T,Sega,No Online Multiplayer,
Sonic CD,2011-12-14,82,20,7.6,68,E,Sega,,
Borderlands 3,2019-09-13,82,25,5.3,436,M,Gearbox Software,Up to 4 Players,
Pro Evolution Soccer 2015,2014-11-11,82,56,7.1,404,E,Konami,Up to 22 Players,
Dyad,2012-07-17,82,33,5.9,54,E,Right Square Bracket Left Square Bracket Games,,
Antichamber,2013-01-31,82,50,8.3,597,,Demruth,,
Sonic & All-Stars Racing Transformed,2012-11-18,82,24,8.3,124,E10+,Sumo Digital,Up to 10 Players,
NBA 2K9,2008-10-07,82,30,7.1,38,E,Visual Concepts,,1-4 Players
Neverwinter Nights 2,2006-10-31,82,46,6.6,634,T,Obsidian Entertainment,,1-4 Players
Mega Man Powered Up,2006-03-14,82,28,8.7,81,E,Capcom,,1 Player
Desperados III,2020-06-16,82,24,7.6,152,M,Mimimi Productions,No Online Multiplayer,
Darkstalkers Resurrection,2013-03-13,82,20,6.6,18,T,Iron Galaxy Studios,8 Players Online Up to 8 Players,1-2 Players
Astro's Playroom,2020-11-12,82,46,,,,"JapanStudio, Team Asobi",,
Dark Souls III: The Ringed City,2017-03-28,82,28,8.3,229,M,From Software,,
Dragon Age: Origins - Awakening,2010-03-16,82,38,7.9,501,M,BioWare,No Online Multiplayer,
Peter Jackson's King Kong: The Official Game of the Movie,2005-11-21,82,43,7.9,14,T,Ubisoft Montpellier,,1 Player
Danganronpa: Trigger Happy Havoc,2016-02-18,82,10,8.5,195,,Spike Chunsoft,,
Hearthstone: Heroes of Warcraft - Blackrock Mountain,2015-04-02,82,9,6.0,65,,Blizzard Entertainment,,
Madden NFL 07,2006-08-22,82,14,7.8,6,E,EA Tiburon,,1-2 Players
Rome: Total War Barbarian Invasion,2005-09-27,82,22,8.5,110,T,Creative Assembly,,1-8 Players
The Pinball Arcade,2012-04-04,82,12,6.8,14,E10+,Farsight Studios,,
Ys Origin,2020-10-01,82,23,8.0,13,T,Falcom,,
Gradius V,2004-09-14,82,46,8.8,24,T,Treasure,,1-2 Players
Marvel: Ultimate Alliance,2006-10-24,82,68,7.6,137,T,Raven Software,,1-4 Players
Top Spin 4,2011-03-15,82,37,8.2,63,E,2K Czech,,
Sega Ages: Virtua Racing,2019-06-27,82,7,8.2,14,E,"Sega AM2, M2",No Online Multiplayer,
NCAA Football 12,2011-07-12,82,25,6.6,54,E,EA Sports,,
Guitar Hero III: Legends of Rock,2007-10-28,82,24,8.5,76,T,"Neversoft Entertainment, BudCat",,1-2 Players
The Darkness,2007-06-25,82,63,8.1,229,M,Starbreeze,,1 Player
I Expect You To Die,2016-12-13,82,17,7.6,55,E10+,Schell Games,,
Etrian Odyssey 2 Untold: The Fafnir Knight,2015-08-04,82,41,8.0,66,T,Atlus,No Online Multiplayer,
Disgaea DS,2008-09-23,82,32,7.9,39,T,Nippon Ichi Software,2 Players Online No Online Multiplayer,1 Player
Lunar Knights,2007-02-06,82,39,7.8,25,E10+,Kojima Productions,,1 Player
Blasphemous,2019-09-10,82,14,8.0,76,M,The Game Kitchen,No Online Multiplayer,
Hacknet,2015-08-12,82,7,7.6,62,,Orann,,
The Walking Dead: Season Two Episode 3 - In Harm's Way,2014-05-14,82,12,8.7,57,M,Telltale Games,,
Test Drive Unlimited,2006-09-05,82,69,8.0,97,E10+,Eden Studios,,1-8 Players
Tales of Monkey Island Chapter 3: Lair of the Leviathan,2009-09-29,82,33,7.7,35,E10+,Telltale Games,No Online Multiplayer,1 Player
The Walking Dead: A Telltale Games Series - The Complete First Season,2013-08-20,82,7,8.6,155,M,Telltale Games,,
Blur,2010-05-25,82,78,8.2,189,E10+,Bizarre Creations,Up to 20 Players,
FIFA 15,2014-09-23,82,33,5.4,364,E,EA Sports,Up to 22 Players,
Neverwinter Nights 2: Mask of The Betrayer,2007-10-09,82,25,8.5,213,T,Obsidian Entertainment,,1 Player
Need for Speed Most Wanted,2005-11-15,82,36,8.9,219,T,EA Canada,,1-2 Players
Sins of a Solar Empire: Rebellion,2012-06-12,82,24,7.8,280,T,Ironclad Games,,
Broken Sword: The Sleeping Dragon,2003-11-17,82,32,7.3,116,T,Revolution Software,No Online Multiplayer,1 Player
Age of Wonders: Shadow Magic,2003-07-25,82,22,8.5,98,T,Triumph Studios,,1-8 Players
ATV Offroad Fury 2,2002-11-09,82,26,8.7,36,E,Rainbow Studios,,1-4 Players
Mega Man Zero,2002-09-09,82,17,8.8,98,E,Inti,,1 Player
SOCOM: U.S. Navy SEALs,2002-08-27,82,42,8.0,89,M,Zipper Interactive,,1-16 Players
Tom Clancy's Ghost Recon: Desert Siege,2002-03-27,82,14,6.7,19,M,Red Storm Entertainment,,
Warlords Battlecry II,2002-03-11,82,21,7.8,34,T,Strategic Studies Group,,
Ring of Red,2001-03-12,82,15,8.1,13,T,Konami,,1 Player
Sairento VR,2019-07-10,82,17,6.5,24,M,Mixed Realms Pte Ltd,,
Football Manager Live,2009-01-23,82,23,3.0,46,,Sports Interactive,,
Prey: Mooncrash,2018-06-10,82,11,6.7,16,,Arkane Studios,,
The Walking Dead: Season Two Episode 2 - A House Divided,2014-03-04,82,8,8.4,86,M,Telltale Games,,
Marvel: Ultimate Alliance,2006-10-24,82,22,7.8,77,T,Raven Software,4 Players Online Online Multiplayer Up to 4 Players,1-4 Players
Metro Exodus,2019-02-15,82,53,7.1,3918,M,4A Games,No Online Multiplayer,
Darksiders,2010-01-05,82,73,7.9,374,M,Vigil Games,No Online Multiplayer,
The Talos Principle: Road To Gehenna,2015-07-23,82,17,7.8,56,,Croteam,,
Lara Croft and the Guardian of Light,2010-09-28,82,13,8.0,185,T,"Crystal Dynamics, Nixxes Software",,
Stellaris: Utopia,2017-04-06,82,10,7.9,34,,Paradox Development Studio,,
Tales From The Borderlands: Episode 1 - Zer0 Sum,2014-11-26,82,8,8.2,62,M,Telltale Games,No Online Multiplayer,
Aquaria,2007-12-07,82,7,8.1,117,E,Bit Blot,,
Need for Speed: Underground,2003-11-17,82,24,8.3,500,E,Black Box,,1-4 Players
Bloodstained: Curse of the Moon 2,2020-07-10,82,22,8.4,31,T,Inti Creates,No Online Multiplayer,
Super Puzzle Fighter II Turbo HD Remix,2007-08-30,82,7,7.4,14,E,Backbone Entertainment,,
TrackMania Sunrise,2005-05-06,82,31,7.7,48,E,Nadeo,,1 Player
King's Quest Chapter 1: A Knight to Remember,2015-07-28,82,23,7.3,99,E10+,The Odd Gentlemen,,
Ape Escape 2,2003-06-30,82,31,8.3,42,E,SCE Japan Studio,,1 Player
Viva Pinata: Pocket Paradise,2008-09-08,82,34,7.5,19,E,Rare Ltd.,2 Players Online,1-4 Players
Huntdown,2020-05-12,82,16,7.2,50,T,"Coffee Stain Studios, Easy Trigger Games",2 Players,
Skullgirls,2012-04-10,82,25,7.1,88,T,Reverge Labs,,
PixelJunk Shooter 2,2011-03-01,82,41,7.7,30,E,Q-Games,,
Tekken Tag Tournament 2,2012-09-11,82,50,8.3,252,T,Namco Bandai Games,,1-4 Players
Shantae and the Pirate's Curse,2014-10-23,82,18,8.6,125,T,WayForward,No Online Multiplayer,
The Elder Scrolls V: Skyrim - Dragonborn,2012-12-04,82,38,8.2,188,M,Bethesda Game Studios,,
Disc Room,2020-10-22,82,25,7.7,10,,"Terri, Dose, Kitty, and JW",,
Galak-Z: The Dimensional,2015-08-04,82,42,7.1,138,E10+,17-Bit,,
Sportsfriends,2014-05-06,82,21,6.3,86,E10+,Die Gute Fabrik,,
Dragon Age II,2011-03-08,82,45,4.6,4858,M,BioWare,No Online Multiplayer,
Dragon Age II,2011-03-08,82,52,4.4,1225,M,BioWare,No Online Multiplayer,
Under Night In-Birth Exe:Late[cl-r],2020-02-20,82,9,7.8,30,T,French-Bread,Up to 8 Players,
AVICII Invector,2019-12-10,82,12,7.7,12,T,Wired Productions,No Online Multiplayer,
eFootball PES 2020,2019-09-10,82,9,7.2,118,E,Konami,Up to 22 Players,
Terraria,2019-06-27,82,12,8.6,63,T,"Pipeworks Software, Inc., Re-Logic",,
SNK 40th Anniversary Collection,2019-05-03,82,9,,,T,"Digital Eclipse, SNK",No Online Multiplayer,
Swords & Soldiers II: Shawarmageddon,2019-03-01,82,8,8.0,11,,Ronimo Games,,
Hitman 2,2018-11-09,82,70,8.3,661,M,Io Interactive,2 Players,
The Banner Saga 3,2018-07-26,82,51,7.8,107,T,Stoic,No Online Multiplayer,
Hand of Fate 2,2017-12-01,82,7,7.9,15,T,Defiant Development,No Online Multiplayer,
Pyre,2017-07-25,82,27,8.0,180,,Supergiant Games,,
10 Second Ninja X,2016-07-19,82,10,4.5,8,T,GameDesignDan,,
Endless Legend,2014-04-24,82,37,8.0,532,,Amplitude Studios,,
Virtua Fighter 5 Final Showdown,2012-06-05,82,21,6.2,92,T,Sega AM2,Up to 8 Players,
Skylanders: Spyro's Adventure,2011-10-16,82,8,5.1,72,E10+,Vicarious Visions,,
Trauma Team,2010-05-18,82,29,8.2,30,T,Atlus,,
Henry Hatsworth in the Puzzling Adventure,2009-03-17,82,46,8.0,38,E,EA Tiburon,,1 Player
Call of Duty 3,2006-11-07,82,14,7.4,113,T,Treyarch,16 Players Online,1 Player
